300
0.05

!qRg, LAA, LAB, LBB

10.450000 0.001141 -0.000672 0.001141
10.500000 0.001120 -0.000660 0.001120
10.550000 0.001100 -0.000648 0.001100
10.600000 0.001080 -0.000637 0.001080
10.650000 0.001061 -0.000626 0.001061
10.700000 0.001042 -0.000615 0.001042
10.750000 0.001024 -0.000604 0.001024
10.800000 0.001006 -0.000593 0.001006
10.850000 0.000988 -0.000583 0.000988
10.900000 0.000971 -0.000573 0.000971
10.950000 0.000954 -0.000563 0.000954
11.000000 0.000938 -0.000553 0.000938
11.050000 0.000922 -0.000544 0.000922
11.100000 0.000906 -0.000535 0.000906
11.150000 0.000890 -0.000526 0.000890
11.200000 0.000875 -0.000517 0.000875
11.250000 0.000860 -0.000508 0.000860
11.300000 0.000846 -0.000500 0.000846
11.350000 0.000832 -0.000491 0.000832
11.400000 0.000818 -0.000483 0.000818
11.450000 0.000804 -0.000475 0.000804
11.500000 0.000791 -0.000467 0.000791
11.550000 0.000778 -0.000460 0.000778
11.600000 0.000765 -0.000452 0.000765
11.650000 0.000752 -0.000445 0.000752
11.700000 0.000740 -0.000437 0.000740
11.750000 0.000728 -0.000430 0.000728
11.800000 0.000716 -0.000423 0.000716
11.850000 0.000704 -0.000417 0.000704
11.900000 0.000693 -0.000410 0.000693
11.950000 0.000682 -0.000403 0.000682
12.000000 0.000671 -0.000397 0.000671
12.050000 0.000660 -0.000391 0.000660
12.100000 0.000650 -0.000385 0.000650
12.150000 0.000640 -0.000379 0.000640
12.200000 0.000630 -0.000373 0.000630
12.250000 0.000620 -0.000367 0.000620
12.300000 0.000610 -0.000361 0.000610
12.350000 0.000601 -0.000356 0.000601
12.400000 0.000591 -0.000350 0.000591
12.450000 0.000582 -0.000345 0.000582
12.500000 0.000573 -0.000340 0.000573
12.550000 0.000565 -0.000334 0.000565
12.600000 0.000556 -0.000329 0.000556
12.650000 0.000547 -0.000324 0.000547
12.700000 0.000539 -0.000319 0.000539
12.750000 0.000531 -0.000315 0.000531
12.800000 0.000523 -0.000310 0.000523
12.850000 0.000515 -0.000305 0.000515
12.900000 0.000507 -0.000301 0.000507
12.950000 0.000500 -0.000296 0.000500
13.000000 0.000493 -0.000292 0.000493
13.050000 0.000485 -0.000288 0.000485
13.100000 0.000478 -0.000283 0.000478
13.150000 0.000471 -0.000279 0.000471
13.200000 0.000464 -0.000275 0.000464
13.250000 0.000457 -0.000271 0.000457
13.300000 0.000451 -0.000267 0.000451
13.350000 0.000444 -0.000264 0.000444
13.400000 0.000438 -0.000260 0.000438
13.450000 0.000432 -0.000256 0.000432
13.500000 0.000425 -0.000252 0.000425
13.550000 0.000419 -0.000249 0.000419
13.600000 0.000413 -0.000245 0.000413
13.650000 0.000408 -0.000242 0.000408
13.700000 0.000402 -0.000238 0.000402
13.750000 0.000396 -0.000235 0.000396
13.800000 0.000391 -0.000232 0.000391
13.850000 0.000385 -0.000229 0.000385
13.900000 0.000380 -0.000225 0.000380
13.950000 0.000375 -0.000222 0.000375
14.000000 0.000369 -0.000219 0.000369
14.050000 0.000364 -0.000216 0.000364
14.100000 0.000359 -0.000213 0.000359
14.150000 0.000354 -0.000210 0.000354
14.200000 0.000350 -0.000208 0.000350
14.250000 0.000345 -0.000205 0.000345
14.300000 0.000340 -0.000202 0.000340
14.350000 0.000335 -0.000199 0.000335
14.400000 0.000331 -0.000197 0.000331
14.450000 0.000327 -0.000194 0.000327
14.500000 0.000322 -0.000191 0.000322
14.550000 0.000318 -0.000189 0.000318
14.600000 0.000314 -0.000186 0.000314
14.650000 0.000309 -0.000184 0.000309
14.700000 0.000305 -0.000182 0.000305
14.750000 0.000301 -0.000179 0.000301
14.800000 0.000297 -0.000177 0.000297
14.850000 0.000294 -0.000174 0.000294
14.900000 0.000290 -0.000172 0.000290
14.950000 0.000286 -0.000170 0.000286
15.000000 0.000282 -0.000168 0.000282
